2026-03-21 11:32:05,271 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 0.48ms | Query: CREATE INDEX IF NOT EXISTS idx_schedule_audit_shift ON schedule_audit_logs(shift_id)
2026-03-21 11:32:05,271 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 0.23ms | Query: CREATE INDEX IF NOT EXISTS idx_schedule_audit_action ON schedule_audit_logs(action)
2026-03-21 11:32:05,273 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 16.73ms | Query: ALTER TABLE shifts ADD COLUMN IF NOT EXISTS status VARCHAR(20) NOT NULL DEFAULT 'pending'
2026-03-21 11:32:05,273 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 0.31ms | Query: ALTER TABLE shifts ADD COLUMN IF NOT EXISTS approved_by INT REFERENCES staff(id)
2026-03-21 11:32:05,274 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 0.43ms | Query: ALTER TABLE shifts ADD COLUMN IF NOT EXISTS approved_at TIMESTAMPTZ
2026-03-21 11:32:05,275 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 0.19ms | Query: ALTER TABLE shifts ADD COLUMN IF NOT EXISTS completion_percent NUMERIC(5, 2) NOT NULL DEFAULT 100
2026-03-21 11:32:05,276 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 0.23ms | Query: ALTER TABLE shifts ADD COLUMN IF NOT EXISTS pay_multiplier NUMERIC(6, 3) NOT NULL DEFAULT 1.0
2026-03-21 11:32:05,276 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 0.31ms | Query: ALTER TABLE shifts ADD COLUMN IF NOT EXISTS salary_payment_id INT REFERENCES salary_payments(id)
2026-03-21 11:32:05,278 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 0.87ms | Query: UPDATE shifts SET completion_percent = 100 WHERE completion_percent IS NULL
2026-03-21 11:32:05,278 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 0.38ms | Query: UPDATE shifts SET pay_multiplier = 1.0 WHERE pay_multiplier IS NULL OR pay_multiplier <= 0
2026-03-21 11:32:05,279 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 0.50ms | Query: CREATE INDEX IF NOT EXISTS idx_shifts_time ON shifts (start_time, end_time)
2026-03-21 11:32:05,280 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 0.31ms | Query: CREATE INDEX IF NOT EXISTS idx_shifts_staff ON shifts (staff_id)
2026-03-21 11:32:05,281 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 0.39ms | Query: CREATE INDEX IF NOT EXISTS idx_shifts_status ON shifts (status)
2026-03-21 11:32:05,281 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 0.15ms | Query: CREATE INDEX IF NOT EXISTS idx_shifts_payment ON shifts (salary_payment_id)
2026-03-21 11:32:05,282 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 0.24ms | Query: CREATE TABLE IF NOT EXISTS schedule_audit_logs ( id SERIAL PRIMARY KEY, shift_id INT REFERENCES shifts(id) ON DELETE SET NULL, action VARCHAR(40) NOT NULL, changed_by INT REFERENCES staff(id), details...
2026-03-21 11:32:05,282 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 0.19ms | Query: CREATE INDEX IF NOT EXISTS idx_schedule_audit_shift ON schedule_audit_logs(shift_id)
2026-03-21 11:32:05,283 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 0.15ms | Query: CREATE INDEX IF NOT EXISTS idx_schedule_audit_action ON schedule_audit_logs(action)
2026-03-21 11:32:05,292 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 6.33ms | Query: SELECT EXISTS ( SELECT 1 FROM information_schema.columns WHERE table_name = 'shifts' AND column_name = 'salary_payment_id' )
2026-03-21 11:32:05,292 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 19.78ms | Query: SELECT EXISTS ( SELECT 1 FROM information_schema.columns WHERE table_name = 'shifts' AND column_name = 'salary_payment_id' )
2026-03-21 11:32:05,296 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 2.29ms | Query: SELECT s.id, s.staff_id, s.start_time, s.end_time, s.note, st.first_name, st.last_name, r.name as role_name, r.id as role_id, s.status, s.approved_by, s.approved_at, s.salary_payment_id, COALESCE(s.co...
2026-03-21 11:32:05,296 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 2.90ms | Query: SELECT s.id, s.staff_id, s.start_time, s.end_time, s.note, st.first_name, st.last_name, r.name as role_name, r.id as role_id, s.status, s.approved_by, s.approved_at, s.salary_payment_id, COALESCE(s.co...
2026-03-21 11:32:05,296 | INFO     | app.py:39 | RESP | GET /api/schedule | Status: 200
2026-03-21 11:32:05,297 | INFO     | app.py:39 | RESP | GET /api/schedule | Status: 200
2026-03-21 11:32:09,589 | INFO     | app.py:35 | REQ  | GET /api/schedule | Args: {'start': '2026-03-18T23:00:00.000Z', 'end': '2026-03-19T22:59:59.999Z'}
2026-03-21 11:32:09,603 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 4.88ms | Query: SELECT EXISTS ( SELECT 1 FROM information_schema.columns WHERE table_name = 'shifts' AND column_name = 'salary_payment_id' )
2026-03-21 11:32:09,604 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 0.99ms | Query: SELECT s.id, s.staff_id, s.start_time, s.end_time, s.note, st.first_name, st.last_name, r.name as role_name, r.id as role_id, s.status, s.approved_by, s.approved_at, s.salary_payment_id, COALESCE(s.co...
2026-03-21 11:32:09,606 | INFO     | app.py:39 | RESP | GET /api/schedule | Status: 200
